,Date,Category,Section,Headline,Subheader,Term,URL
949,2017-05-19,Arts,Arts,A Defense of ‘Transracial’ Identity Roils Philosophy World,A journal article comparing transracial and transgender identities has touched off an online firestorm and opened up a schism in feminist philosophy.,Transgender,/2017/05/19/arts/a-defense-of-transracial-identity-roils-philosophy-world.html?searchResultPosition=195
950,2017-05-19,World News,Asia Pacific,Japanese Transgender Politician Is Showing ‘I Exist Here’,"Tomoya Hosoda, a councilman in a Tokyo suburb, ran for office to help younger generations accept gender fluidity in a country where obstacles to it persist.",Transgender,/2017/05/19/world/asia/japanese-transgender-politician-is-showing-i-exist-here.html?searchResultPosition=120
951,2017-05-21,US New,New York,"After Fleeing Bias at Home, Gay Russians Say It Persists in Brooklyn","On Saturday, about 200 people rallied in Brighton Beach to protest discrimination in what was described as the country’s first Russian-speaking march for lesbian, gay, bisexual and transgender people.",Transgender,/2017/05/21/nyregion/bias-gay-russians-brooklyn.html?searchResultPosition=263
952,2017-05-24,Arts,Theater,"‘Transparent,’ the Musical: Coming Soon?","Faith Soloway, a writer for the Amazon series who is the sister of its creator, will present the show “Should ‘Transparent’ Become a Musical?” at Joe’s Pub.",Other,/2017/05/24/theater/transparent-the-musical-coming-soon-joes-pub-faith-soloway.html?searchResultPosition=376
953,2017-05-24,Misc,Magazine,Janet Mock Struggles With Being Called a ‘Trans Advocate’,The author on giving young people life advice and what she learned from sex work.,Other,/2017/05/24/magazine/janet-mock-struggles-with-being-called-a-trans-advocate.html?searchResultPosition=194
954,2017-05-25,Arts,Theater,Review: Love Grows Complicated for a British Couple in ‘Rotterdam’,Jon Brittain’s play explores the fallout when Fiona announces to her girlfriend that she wants to transition and be called Adrian.,Other,/2017/05/25/theater/rotterdam-review.html?searchResultPosition=388
955,2017-05-26,US New,U.S.,Loophole in Rules on Transgender Troops Denies 2 Their Commissions,Two service academy cadets will not become officers because of a wrinkle in the Pentagon’s transgender policy its chief author says he didn’t foresee.,Transgender,/2017/05/26/us/loophole-in-rules-on-transgender-troops-denies-2-their-commissions.html?searchResultPosition=112
956,2017-05-29,Science,Health,Gay and Transgender Patients to Doctors: We’ll Tell. Just Ask.,Doctors often don’t ask about sexual orientation and gender identity because they don’t want to make patients uncomfortable. But a new study suggests that concern may be unfounded.,Transgender,/2017/05/29/health/lgbt-patients-doctors.html?searchResultPosition=150
957,2017-05-30,US New,U.S.,"Transgender Wisconsin Student May Use Boys’ Bathroom, Appeals Court Says","Just days before graduation, an appeals court affirms a student’s right to use the boys’ bathroom at his high school in Kenosha.",Transgender,/2017/05/30/us/transgender-wisconsin-student-may-use-boys-bathroom-appeals-court-says.html?searchResultPosition=127
958,2017-06-06,US New,U.S.,Texas Governor Revives Stalled Transgender Bathroom Bill,"Gov. Greg Abbott called lawmakers back to Austin in July for a special legislative session, in part to pass regulations on transgender bathroom use.",Transgender,/2017/06/06/us/texas-bathroom-bill.html?searchResultPosition=110
959,2017-06-13,Arts,Book Review,The Modern Trans Memoir Comes of Age,"Two new memoirs, by Janet Mock and Caitlyn Jenner, reveal how trans writing about identity is evolving.",Other,/2017/06/13/books/review/critics-take-queer-writing.html?searchResultPosition=357
960,2017-06-16,US New,New York,"Faith and Family, in Transition","An evangelical minister reassesses his Brooklyn ministry when his father, also a minister, comes out as a transgender woman.",Transgender,/2017/06/16/nyregion/forefront-pastors-father-became-a-woman.html?searchResultPosition=188
961,2017-06-20,Arts,Arts,A New Rating for TV and Movies Tries to Combat Gender Stereotypes,The watchdog group Common Sense will introduce a “positive gender representations” label for content that prompts boys and girls to think beyond traditional roles.,Other,/2017/06/20/arts/common-sense-media-ratings-gender.html?searchResultPosition=709
962,2017-06-21,Life,Love,A Transgender Groom Sees Beyond What He Ever Imagined,I figured people like me were not supposed to be in love or marry. I started to hate love stories and weddings.,Transgender,/2017/06/21/fashion/weddings/transgender-groom-wedding.html?searchResultPosition=109
963,2017-06-22,US New,U.S.,"Julia Serano, Transfeminist Thinker, Talks Trans-Misogyny",She transitioned in 2002. Her manifesto explores links between transphobia and misogyny.,Other,/2017/06/22/us/lgbt-julia-serano-transfeminist-trans-misogyny.html?searchResultPosition=181
964,2017-06-25,Arts,Art & Design,A Winning Design for a New York Monument to Gay and Transgender People,Gov. Andrew M. Cuomo announced that the artist Anthony Goicolea had been selected to design the monument in Hudson River Park in Manhattan.,Transgender,/2017/06/25/arts/design/a-monument-to-gay-and-trangender-people-is-coming-to-new-york.html?searchResultPosition=96
965,2017-06-30,Misc,Opinion,"The Thrill and Fear of ‘Hey, Beautiful’",I’m grateful that a catcall hasn’t led to violence like it has for so many other trans women of color.,Other,/2017/06/30/opinion/trans-sexual-assault-black-women.html?searchResultPosition=170
966,2017-06-30,US New,U.S.,Pentagon Delays Accepting Transgender Recruits for 6 Months,"The extra time allotted by Defense Secretary Jim Mattis will allow military leaders to assess the impact of adding the recruits, a Pentagon spokeswoman said.",Transgender,/2017/06/30/us/pentagon-delays-transgender-recruits.html?searchResultPosition=94
967,2017-07-06,Arts,Fashion,Juliana Huxtable: A Transgressive Artist Finds Her Voice,"Ms. Huxtable is a D.J., writer, night-life host and fashion model originally from Texas.",Other,/2017/07/06/fashion/juliana-huxtable-transgender-artist.html?searchResultPosition=98
968,2017-07-08,Life,Retirement,Fighting for L.G.B.T. Rights in Retirement Communities,"Older lesbian, gay, bisexual and transgender people face challenges finding retirement communities that will welcome them.",Transgender,/2017/07/08/business/retirement/lgbt-rights-retirement-communities.html?searchResultPosition=151
969,2017-07-14,US New,U.S.,Transgender Students Turn to Courts as Government Support Erodes,A case in point is a Florida student who sued his school board last month after his mother said the federal authorities stopped investigating his complaint.,Transgender,/2017/07/14/us/transgender-students-trump.html?searchResultPosition=91
970,2017-07-17,Arts,Theater,When Women Won’t Accept Theatrical Manspreading,"Gender inequality remains a problem, but it’s heartening to see playwrights and performers argue for more opportunities.",Other,/2017/07/17/theater/when-women-wont-accept-theatrical-manspreading.html?searchResultPosition=720
971,2017-07-19,Arts,Style,"Amanda Lepore, Transgender Club Diva, Tells All About Her Plastic Surgery","Famous for her cosmetic enhancements and as a muse for the photographer David LaChapelle, the rhinestone-clad party hostess puts out a photo-filled memoir.",Transgender,/2017/07/19/style/amanda-lepore-transgender-memoir.html?searchResultPosition=93
972,2017-07-21,US New,U.S.,"<div>Texas Bathroom Bill Has Emotions, and Stakes, Running High</div>",Opponents and supporters of a proposal to limit transgender bathroom use in public buildings packed a committee hearing in Austin on Friday.,Transgender,/2017/07/21/us/texas-bathroom-bill-transgender.html?searchResultPosition=108
973,2017-07-26,US New,U.S.,"For Transgender Service Members, a Mix of Sadness, Anger and Fear",President Trump’s announcement that the military would no longer allow transgender people to serve led to warnings about the return of an era of secrecy and shame.,Transgender,/2017/07/26/us/for-transgender-service-members-a-mix-of-sadness-anger-and-fear.html?searchResultPosition=90
974,2017-07-26,Misc,Opinion,Transgender in the Military,A reader calls President Trump’s decision to bar transgender people “reckless.”,Transgender,/2017/07/26/opinion/transgender-in-the-military.html?searchResultPosition=192
975,2017-07-26,US New,Politics,How U.S. Military Policy on Transgender Personnel Changed Under Obama,President Trump has reversed an Obama administration policy that evolved rapidly. Here is how The Times covered the issue.,Transgender,/2017/07/26/us/politics/trans-military-trump-timeline.html?searchResultPosition=88
976,2017-07-26,US New,Politics,Furious Gay Rights Advocates See Trump’s ‘True Colors’,"Anger erupted at the president after his move to bar transgender people from the military, with many citing his supportive words for L.G.B.T. people last year.",Transgender,/2017/07/26/us/politics/furious-gay-rights-advocates-see-trumps-true-colors.html?searchResultPosition=105
977,2017-07-26,US New,Politics,Trump Says Transgender People Will Not Be Allowed in the Military,"The president’s announcement, made on Twitter, blindsided the Pentagon and Republican congressional leaders and thrilled members of his conservative base.",Transgender,/2017/07/26/us/politics/trump-transgender-military.html?searchResultPosition=82
978,2017-07-26,Misc,Opinion,Trump’s Contempt for Transgender Heroes,"“I served this country to protect everyone’s rights and freedoms, and one would think that would include my own.”",Transgender,/2017/07/26/opinion/trumps-contempt-for-transgender-heroes.html?searchResultPosition=81
979,2017-07-26,Misc,Opinion,Trump Punishes Transgender Patriots,"His agenda stalled, the president has settled for barring a few thousand transgender Americans from serving in the military.",Transgender,/2017/07/26/opinion/trump-transgender-military-ban.html?searchResultPosition=80
980,2017-07-27,Misc,Opinion,I Am a Transgender Female Captain in the U.S. Army,"Enabling soldiers to pursue their gender identity allows them to feel a part of the team, and be all they can be.",Transgender,/2017/07/27/opinion/trump-transgender-female-captain-army.html?searchResultPosition=83
981,2017-07-27,US New,Politics,Right and Left React to Trump’s Transgender Ban,Read about how the other side thinks: Writers across the political spectrum on the president’s barring of transgender people from military service.,Transgender,/2017/07/27/us/politics/trump-transgender-ban-reactions.html?searchResultPosition=84
982,2017-07-27,US New,Politics,"Transgender People Can Still Serve for Now, U.S. Military Says","The military’s policy is unchanged until the White House alters the rules, a top Pentagon official said a day after President Trump announced that the armed services would bar transgender members.",Transgender,/2017/07/27/us/politics/transgender-military-trump-ban.html?searchResultPosition=86
983,2017-07-27,Misc,Opinion,"Chelsea Manning: President Trump, Trans People in the Military Are Here to Stay",I know the harms caused by official discrimination and denial of who we are. We’re not going back there.,Other,/2017/07/27/opinion/trump-transgender-military-chelsea-manning.html?searchResultPosition=103
984,2017-07-27,Misc,The Daily,‘The Daily’: What Exactly Is a ‘Skinny Repeal’?,"We discuss the latest on the health care bill, and the president’s announcement about barring transgender people from military service.",Transgender,/2017/07/27/podcasts/the-daily/senate-health-care-military-transgender.html?searchResultPosition=102
985,2017-07-27,Misc,Opinion,Protesting Trump’s Transgender Ban,"Two doctors and the mother of a transgender man call the ban on military service “cruel,” “discriminatory” and “ill informed.”",Transgender,/2017/07/27/opinion/protesting-trumps-transgender-ban.html?searchResultPosition=193
986,2017-07-27,Misc,Opinion,Uncle Sam No Longer Wants You,Mr. Trump reversed the welcome the military had given to transgender Americans to pander to politics.,Transgender,/2017/07/27/opinion/donald-trump-transgender-pandering.html?searchResultPosition=101
987,2017-07-27,Arts,Television,"Patti Harrison, Transgender Comedian, Speaks Out on Trump’s Military Ban","On “The Tonight Show,” Ms. Harrison said: “I don’t necessarily want to serve in the military, but I want the right to serve.”",Transgender,/2017/07/27/arts/television/patti-harrison-transgender-comedian-trump-ban.html?searchResultPosition=160
988,2017-07-27,US New,U.S.,California Today: Military Communities Respond to Trump’s Transgender Ban,"Thursday: San Diego grapples with the transgender ban, testing how far California can go on climate, and checking in Cheech Marin.",Transgender,/2017/07/27/us/california-today-military-communities-respond-to-trumps-transgender-ban.html?searchResultPosition=152
989,2017-07-27,US New,Politics,"In One Day, Trump Administration Lands 3 Punches Against Gay Rights","Activists called Wednesday the White House’s “anti-L.G.B.T. day” after it barred transgender people from the military, intervened in an employment suit and nominated a gay rights opponent as an ambassador.",Transgender,/2017/07/27/us/politics/white-house-lgbt-rights-military-civil-rights-act.html?searchResultPosition=100
990,2017-07-29,Misc,Times Insider,‘Good Example of Profanity Use: Stepping on a Lego Brick’,"Our Top 10 Comments of the Week: Readers debate the power of a good curse, transgender people in the military and the fate of the “skinny repeal.”",Transgender,/2017/07/29/insider/good-example-of-profanity-use-stepping-on-a-lego-brick.html?searchResultPosition=269
991,2017-07-30,Misc,Times Insider,A Pentagon Correspondent Keeps Sight of the Person Inside the Uniform,"After President Trump’s announcement barring transgender people from the armed forces, Helene Cooper reflects on the United States military’s mosaic of humanity.",Transgender,/2017/07/30/insider/a-pentagon-correspondent-keeps-sight-of-the-person-inside-the-uniform-transgender.html?searchResultPosition=95
992,2017-08-01,Arts,Book Review,"In ‘Mrs. Fletcher,’ Tom Perrotta Satirizes the Sex Lives of Mothers and Sons",The new novel by the author of “The Leftovers” features a 46-year-old woman hooked on pornography and her college-age son navigating campus gender politics.,Other,/2017/08/01/books/review/mrs-fletcher-tom-perrotta.html?searchResultPosition=729
993,2017-08-01,US New,Politics,"Coast Guard Still Supports Transgender Troops, Commandant Says","Adm. Paul Zukunft said he remained committed to “our people right now,” despite President Trump’s statement that transgender people were not welcome in the military.",Transgender,/2017/08/01/us/politics/coast-guard-commandant-general-zukunft-transgender-troops.html?searchResultPosition=79
994,2017-08-03,Arts,Style,Dealing With Bigotry Against Transgender People in Public,Also: how to stuff a wildly hungry brother-in-law; withholding the elevator; and letting them eat half-eaten cake.,Transgender,/2017/08/03/style/transgender-biogtry.html?searchResultPosition=77
995,2017-08-03,US New,Politics,Trump Cites Familiar Argument in Ban on Transgender Troops,Years of study have not produced much evidence to support President Trump’s claims that transgender members make it harder for the military to focus on “decisive and overwhelming victory.”,Transgender,/2017/08/03/us/politics/transgender-military-trump.html?searchResultPosition=76
996,2017-08-03,US New,U.S.,"Transgender Recruits Welcome at Police Departments, Even if Trump Doesn’t Want Them","A week after the president said he would bar transgender military personnel, officials in Texas, Ohio, Colorado and elsewhere are responding with invitations.",Transgender,/2017/08/03/us/transgender-military-police-trump.html?searchResultPosition=78
997,2017-08-06,US New,U.S.,Transgender African-Americans’ Open Wound: ‘We’re Considered a Joke’,"For many, a comedian’s hateful comment on a New York-based radio program reinforced a longstanding sense of betrayal.",Transgender,/2017/08/06/us/black-transgender-lil-duval.html?searchResultPosition=75
998,2017-08-08,US New,U.S.,Texas Transgender Bathroom Bill Falters Amid Mounting Opposition,"With just days left in a special legislative session, supporters of transgender restrictions are pessimistic about the chances of legislation in the face of business opposition.",Transgender,/2017/08/08/us/time-is-running-out-on-texas-bathroom-bill.html?searchResultPosition=71
999,2017-08-08,Misc,Today’s Paper,Quotation of the Day: Transgender Bathroom Bill Is Hobbled in Texas,"Quotation of the Day for Wednesday, August 9, 2017",Transgender,/2017/08/08/todayspaper/quotation-of-the-day-transgender-bathroom-bill-is-hobbled-in-texas.html?searchResultPosition=159
1000,2017-08-09,US New,Politics,5 Transgender Service Members Sue Trump Over Military Ban,"The lawsuit was filed by two rights groups, but others say they are holding off until the Trump administration takes steps toward implementing the ban.",Transgender,/2017/08/09/us/politics/5-transgender-service-members-sue-trump-over-military-ban.html?searchResultPosition=74
1001,2017-08-09,Science,Mind,"For Transgender Women, an Extra Dose of Fear","Many transgender women say they feel increasingly unsafe, and that “passing” is necessary for survival.",Transgender,/2017/08/09/well/mind/for-transgender-women-an-extra-dose-of-fear.html?searchResultPosition=73
1002,2017-08-10,US New,Politics,Trump Says Transgender Ban Is a ‘Great Favor’ for the Military,The Pentagon has made no move to expel personnel since the commander in chief tweeted the policy two weeks ago.,Transgender,/2017/08/10/us/politics/trump-transgender-military.html?searchResultPosition=69
1003,2017-08-10,US New,Politics,Trump Had a Lot to Say on Thursday. Here Are the Highlights.,"In two appearances before journalists, the president addressed a wide range of issues, including the transgender military ban, the special counselinvestigation and more.",Transgender,/2017/08/10/us/politics/trump-news-conferences.html?searchResultPosition=89
1004,2017-08-11,Misc,Opinion,The Foolish Transgender Debate in Texas,"Conservative Republicans are fighting business leaders, police officials, tourism officials, parents and pastors.",Transgender,/2017/08/11/opinion/the-foolish-transgender-debate-in-texas.html?searchResultPosition=68
1005,2017-08-11,Misc,Opinion,The Gender Gap in the Tech World,Readers discuss the firing of a Google employee who wrote a controversial memo.,Other,/2017/08/11/opinion/the-gender-gap-in-the-tech-world.html?searchResultPosition=955
1006,2017-08-16,US New,Politics,"Texas Bathroom Bill Dies Again, Raising Republican Acrimony",A Texas version of a North Carolina-style bill to restrict transgender bathroom use failed to pass the Legislature during a contentious special session.,Transgender,/2017/08/16/us/politics/texas-bathroom-bill-dies-again-raising-republican-acrimony.html?searchResultPosition=70
1007,2017-08-18,World News,Asia Pacific,Film by Beijing Students Explores Being Young and Transgender in China,"The high school students made “Escape,’’ a film about a transgender teenager’s journey to self-acceptance, to raise awareness about the struggles of transgender people.",Transgender,/2017/08/18/world/asia/china-transgender-film-school.html?searchResultPosition=67
1008,2017-08-19,World News,Asia Pacific,"Transgender Pakistanis Win Legal Victories, but Violence Goes On","Parliament is set to pass the nation’s first law penalizing discrimination and violence against transgender people, a surprising victory in a deeply conservative nation.",Transgender,/2017/08/19/world/asia/pakistan-transgender-bill.html?searchResultPosition=65
1009,2017-08-23,US New,Politics,"Military Transgender Ban to Begin Within 6 Months, Memo Says","President Trump is preparing to give the Defense Department formal authority to dismiss transgender troops, a person familiar with the directive said.",Transgender,/2017/08/23/us/politics/trump-military-transgender-ban.html?searchResultPosition=62
1010,2017-08-24,US New,U.S.,Man Drives Car Through Activists Protesting Transgender Woman’s Death,"Three people were hurt, and the driver was arrested. The activists had attended a vigil for a transgender woman who was fatally shot by the police.",Transgender,/2017/08/24/us/stlouis-protest-transgender-death.html?searchResultPosition=64
1011,2017-08-25,US New,Politics,Trump Gives Mattis Wide Discretion Over Transgender Ban,A White House official would not discuss the possibility that the defense secretary could decline to remove transgender individuals.,Transgender,/2017/08/25/us/politics/trump-mattis-transgender-ban.html?searchResultPosition=60
1012,2017-08-25,World News,Canada,Canada Introduces ‘X’ as a Third Sex Category for Passport Holders,"The new designation, which begins Aug. 31, is a way to allow Canadians to identify by the gender of their choice, officials said.",Other,/2017/08/25/world/americas/canada-passport-x.html?searchResultPosition=259
1013,2017-08-28,Arts,Theater,"To Play Transgender, Sandra Caldwell Had to Open Up About Who She Is","For the first time in her career, Ms. Caldwell will perform as an openly transgender woman, in a part that tracks closely with her own life.",Transgender,/2017/08/28/theater/to-play-transgender-sandra-caldwell-had-to-open-up-about-who-she-is.html?searchResultPosition=63
1014,2017-08-29,US New,Politics,Mattis Says Panel Will Study Trump’s Transgender Military Ban,"On Tuesday, Defense Secretary Jim Mattis said that he was establishing a panel of experts to “provide advice and recommendations on the implementation of the president’s direction.”",Transgender,/2017/08/29/us/politics/mattis-trump-transgender-ban.html?searchResultPosition=57
1015,2017-08-29,Misc,Opinion,When Transgender Trumps Treachery,The glitterati are feting Chelsea Manning with little regard for the fact that she jeopardized American security and innocent lives around the globe.,Transgender,/2017/08/29/opinion/transgender-trump-chelsea-manning.html?searchResultPosition=56
1016,2017-08-31,Arts,Theater,5 Shows to See if You’re in New York in September,"Group weddings, Korean pop, a superannuated Peter Pan and a transgender Emily Post are among the promising theatrical experiences of September.",Transgender,/2017/08/31/theater/5-shows-to-see-if-youre-in-new-york-in-september.html?searchResultPosition=258
1017,2017-09-02,Arts,Style,EJ Johnson Is ‘Not Just Some Other Rich Girl’,"Magic Johnson’s son was outed as gay by TMZ, then became a reality show star. All of 25, he is now embracing his role as a gender-flouting role model.",Other,/2017/09/02/style/ej-johnson-rich-kids-of-beverly-hills.html?searchResultPosition=585
1018,2017-09-02,Life,Business,L’Oréal Drops Transgender Model Over Comments on Race,Munroe Bergdorf posted on social media about “the racial violence of white people” and was dropped from a makeup advertising campaign.,Transgender,/2017/09/02/business/munroe-bergdorf-loreal-transgender.html?searchResultPosition=55
1019,2017-09-06,US New,Politics,Trump’s Choice for Top Civil Rights Job Defends Private-Sector Work,"Eric S. Dreiband, the nominee to run the Justice Department’s civil rights division, defended Abercrombie & Fitch over its firing of a Muslim woman and fought the agency over transgender bathroom access.",Transgender,/2017/09/06/us/politics/eric-dreiband-justice-department-civil-rights-nomination.html?searchResultPosition=257
1020,2017-09-08,Arts,Fashion,"Last Night, Calvin Klein — This Morning, Algebra","For Ariel Nicholson Murtagh, an appearance in a PBS documentary on trans kids led to a Vogue spread and a modeling agent. Now, she’s walking runways.",Other,/2017/09/08/fashion/calvin-klein-ariel-nicholson-murtagh-new-york-fashion-week.html?searchResultPosition=59
1021,2017-09-13,Misc,Lesson Plans,Reader Idea | Creating an Inclusive Classroom by Offering Pronoun Choice,A high school teacher from Massachusetts describes how her school supports students who identify outside the gender binary.,Other,/2017/09/13/learning/lesson-plans/reader-idea-creating-an-inclusive-classroom-by-offering-pronoun-choice.html?searchResultPosition=844
1022,2017-09-15,Arts,Art & Design,Gender-Fluid Artists Come Out of the Gray Zone,“Trigger” at the New Museum brings a new level of visibility to artists who have only been acknowledged before in a trickle of mainstream shows.,Other,/2017/09/15/arts/design/gender-fluid-artists-new-museum-transgender.html?searchResultPosition=54
1023,2017-09-18,US New,U.S.,Georgia Tech Student Leader Is Shot Dead by Campus Police,"Scout Schultz, 21, the president of the gay and transgender student group, left behind suicide notes, was carrying a knife and yelled “shoot me” at the officers. One did.",Transgender,/2017/09/18/us/georgia-tech-killing-student.html?searchResultPosition=53
1024,2017-09-18,Arts,Theater,"Review: In ‘Charm,’ Challenges Emily Post Never Dreamed Of",A transgender etiquette expert faces pupils who have bigger issues than what fork to use in Philip Dawkins’s new play.,Transgender,/2017/09/18/theater/review-charm-play-philip-dawkins.html?searchResultPosition=238
1025,2017-09-28,Arts,Art & Design,"When It Comes to Gender, Let Confusion Reign",The New Museum shouldn’t mind some puzzled faces at the show “Trigger: Gender as a Tool and a Weapon.” Thinking hard is the point.,Other,/2017/09/28/arts/design/arts-gender-new-museum-transgender.html?searchResultPosition=51
1026,2017-09-29,World News,Europe,Azerbaijan Detains Dozens of Gay and Transgender People,"Homosexuality was decriminalized in Azerbaijan in 2000, but discrimination and even violence remain.",Transgender,/2017/09/29/world/europe/azerbaijan-gay.html?searchResultPosition=165
1027,2017-10-03,World News,Middle East,Egypt Expands Crackdown on Gay and Transgender People,At least 34 people have been arrested after concertgoers waved a rainbow flag at a rock performance in Cairo last month.,Transgender,/2017/10/03/world/middleeast/egypt-gay-arrests.html?searchResultPosition=142
1028,2017-10-04,World News,Europe,Female-Only Cambridge College to Allow Transgender Women,"Murray Edwards College, a part of Cambridge University in Britain, said the social and legal understanding of what it means to be a woman had changed.",Transgender,/2017/10/04/world/europe/uk-transgender-women-cambridge.html?searchResultPosition=44
1029,2017-10-05,Arts,Movies,Review: ‘The Death and Life of Marsha P. Johnson’ Explores a Mystery,"The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder.",Transgender,/2017/10/05/movies/the-death-and-life-of-marsha-p-johnson-review.html?searchResultPosition=49
1030,2017-10-05,US New,Politics,"In Shift, Justice Dept. Says Law Doesn’t Bar Transgender Discrimination",The move was the Trump administration’s latest contraction of the Obama-era approach to civil rights enforcement.,Transgender,/2017/10/05/us/politics/transgender-civil-rights-act-justice-department-sessions.html?searchResultPosition=43
1031,2017-10-07,Misc,Today’s Paper,"Quotation of the Day: Shaping Gender Perceptions in Brazil, an Episode at a Time","Quotation of the Day for Sunday, October 8, 2017.",Other,/2017/10/07/todayspaper/quotation-of-the-day-shaping-gender-perceptions-in-brazil-an-episode-at-a-time.html?searchResultPosition=244
1032,2017-10-07,US New,Americas,Transgender Brazilians Embrace Hit Soap Opera: ‘Now You Can See Us’,"“Edge of Desire,” watched nightly by some 50 million Brazilians, is shaping perceptions about gender identity in a nation where transgender people face stigmatization and violence.",Transgender,/2017/10/07/world/americas/brazil-transgender-pabllo-vittar.html?searchResultPosition=46
1033,2017-10-11,Arts,Style,Modern Love Podcast: Ann Dowd Reads ‘My Husband Is Now My Wife’,"On this week’s podcast, the star of “The Handmaid’s Tale” reads Diane Daniel’s story of her spouse’s transition.",Other,/2017/10/11/style/modern-love-podcast-ann-dowd.html?searchResultPosition=48
1034,2017-10-15,Arts,Music,"Jackie Shane, a Transgender Soul Pioneer, Re-emerges After Four Decades",Her electric performances in the 1960s made her an elusive cult heroine. A Numero Group boxed set unravels her true story for the first time.,Transgender,/2017/10/15/arts/music/jackie-shane-transgender-soul-pioneer.html?searchResultPosition=40
1035,2017-10-15,US New,Politics,"Aiding Transgender Case, Sessions Defies His Image on Civil Rights","In an unusual move, the attorney general has sent a federal hate crimes lawyer to Iowa to help prosecute a man charged with murdering a transgender high school student.",Transgender,/2017/10/15/us/politics/jeff-sessions-transgender.html?searchResultPosition=38
1036,2017-10-16,World News,Australia,"For Older Gays Who Might Re-enter the Closet, a Ball Invites Them Out","As Australia votes on same-sex marriage, a party honors gay, transgender and intersex people who helped pave the way for rights and recognition.",Transgender,/2017/10/16/world/australia/lgbt-ball-melbourne.html?searchResultPosition=267
1037,2017-10-18,US New,U.S.,Deal on North Carolina Bathroom Law Would Expand Transgender Protections,Gov. Roy Cooper and transgender rights advocates said they had drawn up a settlement on the state’s longstanding bathroom dispute.,Transgender,/2017/10/18/us/north-carolina-bathroom-bill.html?searchResultPosition=35
1038,2017-10-18,Misc,Opinion,"Ireland’s Transition, and Mine",The country has come a long way on L.G.B.T.Q. rights since I was there in the 1990s.,Other,/2017/10/18/opinion/ireland-gay-transgender-rights.html?searchResultPosition=42
1039,2017-10-19,Arts,Arts,Playboy to Feature Its First Transgender Playmate,"Although Ines Rau will be the first transgender Playmate, Playboy has featured transgender women before. Cooper Hefner said the move fit with the brand’s philosophy.",Transgender,/2017/10/19/arts/playboy-playmate-transgender.html?searchResultPosition=34
1040,2017-10-19,US New,U.S.,Californians Will Soon Have Nonbinary as a Gender Option on Birth Certificates,"Under a new law, the first in the nation, residents will no longer be limited to identifying themselves as either male or female on state documents.",Other,/2017/10/19/us/birth-certificate-nonbinary-gender-california.html?searchResultPosition=41
1041,2017-10-23,Misc,Opinion,Jeff Sessions and a Transgender Case,A reader says the administration is “quite willing to promote unequal treatment of L.G.B.T.Q. people.”,Transgender,/2017/10/23/opinion/jeff-sessions-transgender.html?searchResultPosition=148
1042,2017-10-24,US New,New York,Transgender Inmate Accuses Suffolk County of Unfair Medical Treatment,"Jessica Sunderland, an Iraq war veteran, had a prescription for hormones from a veterans’ hospital, but county doctors disagreed about their safety.",Transgender,/2017/10/24/nyregion/transgender-inmate-suffolk-county-lawsuit.html?searchResultPosition=32
1043,2017-10-24,Life,Family,"When a Student Says, ‘I’m Not a Boy or a Girl’",Some kids are pushing their schools to change how they talk about gender.,Other,/2017/10/24/well/family/transgender-gender-nonbinary-students.html?searchResultPosition=39
1044,2017-10-26,US New,U.S.,"An Iowa Teenager Was Killed in an Alley, but Was It a Hate Crime?","A murder trial in the death of a 16-year-old, described by his mother as gender fluid, has become part of the national debate over gender identity.",Other,/2017/10/26/us/transgender-iowa-murder-trial-kedarie-johnson.html?searchResultPosition=37
1045,2017-10-26,Arts,Television,New Ryan Murphy Show for FX Casts Several Transgender Regulars,"“Pose,” set in 1980s New York, has what the network called the largest cast of transgender series regulars in television history.",Transgender,/2017/10/26/arts/television/pose-ryan-murphy-fx-transgender-casting.html?searchResultPosition=30
1046,2017-10-27,Arts,Style,An Artist and Hostess Who Calls Herself an Alt-Kardashian,The transgender club fixture is a host of the downtown Glam party and leads a ragtag crew of “Kardasians.”,Transgender,/2017/10/27/style/dese-escobar-art-glam-party.html?searchResultPosition=36
1047,2017-10-30,US New,U.S.,Judge Blocks Trump’s Ban on Transgender Troops in Military,The strongly worded ruling noted that the Trump administration’s justification for the ban was suspect and likely unconstitutional.,Transgender,/2017/10/30/us/military-transgender-ban.html?searchResultPosition=24
1048,2017-11-02,Misc,Opinion,Twitter Has a Transgender Problem,"The social media service makes it easy to abuse others, and hard to fight back. That hits one group of users particularly hard.",Transgender,/2017/11/02/opinion/twitter-transgender-harassment-problem.html?searchResultPosition=21
1049,2017-11-03,US New,U.S.,Guilty Verdict in the Death of a Gender-Fluid Iowa Teenager,The killing of Kedarie Johnson drew national attention when Attorney General Jeff Sessions sent a federal hate crimes lawyer to aid in the prosecution.,Other,/2017/11/03/us/kedarie-johnson-verdict-iowa.html?searchResultPosition=33
1050,2017-11-04,US New,U.S.,An Embattled North Carolina Seeks to Outrun a Law’s Bitter Legacy,"Seven months after North Carolina repealed H.B. 2, which restricted restroom access for transgender people, the state is still grappling with the law’s fallout.",Transgender,/2017/11/04/us/north-carolina-transgender-law.html?searchResultPosition=31
1051,2017-11-08,World News,Europe,"Germany Must Allow Third Gender Category, Court Rules",The country’s constitutional court ruled that officials must create a gender-neutral option to ensure individuals’ rights.,Other,/2017/11/08/world/europe/germany-third-gender-category-vanja.html?searchResultPosition=27
